title,company,location,skills
repoleveD nohtyP roineS,"Payne, Roberts and Davis","Stewartbury, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reenigne ygrenE,Vasquez-Davidson,"Christopherville, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
evitucexe lageL,"Jackson, Chambers and Levy","Port Ericaburgh, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reganam ertnec ssentiF,Savage-Bradley,"East Seanview, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reganam tcudorP,Ramirez Inc,"North Jamieview, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffo lacinhcet lacideM,Rogers-Yates,"Davidville, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsitneics lacigoloisyhP,Kramer-Klein,"South Christopher, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rengised elitxeT,Meyers-Johnson,"Port Jonathan, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reganam roolf noisiveleT,Hughes-Williams,"Osbornetown, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffo tnemeganam etsaW,"Jones, Williams and Villa","Scotttown, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
)nohtyP( reenignE erawtfoS,Garcia PLC,"Ericberg, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reterpretnI,Gregory and Sons,"Ramireztown, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tcetihcrA,"Clark, Garcia and Sosa","Figueroaview, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsigoloroeteM,Bush PLC,"Kelseystad, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsitneics lacigoloiduA,Salazar-Meyers,"Williamsburgh, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rehcaet egaugnal dnoces a sa hsilgnE,"Parker, Murphy and Brooks","Mitchellburgh, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
noegruS,Cruz-Brown,"West Jessicabury, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
redart seitiuqE,Macdonald-Ferguson,"Maloneshire, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsilanruoj repapsweN,"Williams, Peterson and Rojas","Johnsonton, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reenigne slairetaM,Smith and Sons,"South Davidtown, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
)leveL-yrtnE( remmargorP nohtyP,"Moss, Duncan and Allen","Port Sara, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsitneics tnempoleved ssecorp/tcudorP,Gomez-Carroll,"Marktown, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
")shtam( hcraeser ,tsitneicS","Manning, Welch and Herring","Laurenland, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsigolocE,"Lee, Gutierrez and Brown","Lauraton, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reenigne slairetaM,"Davis, Serrano and Cook","South Tammyberg, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffo noitavresnoc/rotcepsni sgnidliub cirotsiH,Smith LLC,"North Brandonville, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsitneics ataD,Thomas Group,"Port Robertfurt, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsirtaihcysP,Silva-King,"Burnettbury, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reenigne larutcurtS,Pierce-Long,"Herbertside, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffo noitargimmI,Walker-Simpson,"Christopherport, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
)leveL-yrtnE( remmargorP nohtyP,Cooper and Sons,"West Victor, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
noegrusorueN,"Donovan, Gonzalez and Figueroa","Port Aaron, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reenigne tsacdaorB,"Morgan, Butler and Bennett","Loribury, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
ekaM,Snyder-Lee,"Angelastad, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"tluda ,esruN",Harris PLC,"Larrytown, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rekorb riA,Washington PLC,"West Colin, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"oediv/mlif ,rotidE","Brown, Price and Campbell","West Stephanie, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"oidar ,tnatsissa noitcudorP",Mcgee PLC,"Laurentown, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"snoitacinummoc ,reenignE",Dixon Inc,"Wrightberg, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
evitucexe selaS,"Thompson, Sheppard and Ward","Alberttown, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
)nohtyP( repoleveD erawtfoS,Adams-Brewer,"Brockburgh, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
redart serutuF,Schneider-Brady,"North Jason, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reganam ruoT,Gonzales-Frank,"Arnoldhaven, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsicitenegotyC,Smith-Wong,"Lake Destiny, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"aidemitlum ,rengiseD",Pierce-Herrera,"South Timothyburgh, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reciffo hcraeser noinu edarT,"Aguilar, Rivera and Quinn","New Jimmyton, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"lacitylana ,tsimehC","Lowe, Barnes and Thomas","New Lucasbury, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"aidemitlum ,remmargorP","Lewis, Gonzalez and Vasquez","Port Cory, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
")snoitarepo( gnitsacdaorb ,reenignE",Taylor PLC,"Gileston, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"loohcs yramirp ,rehcaeT","Oliver, Jones and Ramirez","Cindyshire, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
repoleveD nohtyP,Rivera and Sons,"East Michaelfort, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reenigne smetsys gnirutcafunaM,Garcia PLC,"Joybury, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"oediv/mlif/noisivelet ,recudorP","Johnson, Wells and Kramer","Emmatown, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"cisnerof ,tsitneicS",Gonzalez LLC,"Colehaven, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
redart sdnoB,"Morgan, White and Macdonald","Port Coryton, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tnatsissa lairotidE,Robinson-Fitzpatrick,"Amyborough, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rehpargotohP,"Waters, Wilson and Hoover","Reynoldsville, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reknab liateR,Hill LLC,"Port Billy, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rengised yrelleweJ,Li-Gregory,"Adamburgh, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsigolomlahthpO,"Fisher, Ryan and Coleman","Wilsonmouth, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
")ognajD ,nohtyP( repoleveD beW dnE-kcaB",Stewart-Alexander,"South Kimberly, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
recnayevnoc desneciL,Abbott and Sons,"Benjaminland, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
redart serutuF,"Bryant, Santana and Davenport","Zacharyport, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsigolohcysp gnillesnuoC,Smith PLC,"Port Devonville, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
retirwrednu ecnarusnI,Patterson-Singh,"East Thomas, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"evitomotua ,reenignE",Martinez-Berry,"New Jeffrey, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"oidar ,recudorP","May, Taylor and Fisher","Davidside, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
naicitpo gnisnepsiD,"Bailey, Owen and Thompson","Jamesville, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
"gnihtolc/noihsaf ,rengiseD",Vasquez Ltd,"New Kelly, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
retsujda ssol deretrahC,Leblanc LLC,"Lake Antonio, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
")ognajD ,nohtyP( repoleveD beW dnE-kcaB","Jackson, Ali and Mckee","New Elizabethside, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
reganam dnaldoow/tseroF,"Blankenship, Knight and Powell","Millsbury, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
tsicitenegotyc lacinilC,"Patton, Haynes and Jones","Lloydton, AP","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rennalp noitcudorp tnirP,Wood Inc,"Port Jeremy, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
repoleved smetsyS,Collins Group,"New Elizabethtown, AA","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
rengised cihparG,Flores-Nelson,"Charlesstad, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
retirW,"Mitchell, Jones and Olson","Josephbury, AE","['Python', 'SQL', 'Hacking', 'Cyber Security', 'AI']"
